idx,code,pos,school,rom_n,rom_c,rom_f,mat_n,mat_c,mat_f,mat_lang,mat_lang_n,mat_lang_c,mat_lang_f,media
1,SB10121803,1,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",10.00,-,-,9.80,-,-,Limba germana,10.00,-,-,9.93
2,SB10081181,2,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",10.00,-,-,9.70,-,-,-,-,-,-,9.85
3,SB659651,3,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",10.00,-,-,9.70,-,-,-,-,-,-,9.85
4,SB10106530,4,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.95,-,-,9.75,-,-,-,-,-,-,9.85
5,SB10072881,5,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",9.80,-,-,9.90,-,-,-,-,-,-,9.85
6,SB10297206,6,"ŞCOALA GIMNAZIALĂ ""RADU SELEJAN"" SIBIU",9.85,-,-,9.75,-,-,-,-,-,-,9.80
7,SB12614415,7,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.85,-,-,9.75,-,-,-,-,-,-,9.80
8,SB12616366,8,LICEUL ROMÂNO - FINLANDEZ ERI SIBIU,9.95,-,-,9.60,-,-,-,-,-,-,9.77
9,SB11073351,9,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",9.85,-,-,9.70,-,-,-,-,-,-,9.77
10,SB10465860,10,"ŞCOALA GIMNAZIALĂ ""REGINA MARIA"" SIBIU",9.65,-,-,9.90,-,-,-,-,-,-,9.77
11,SB11079024,11,"ŞCOALA GIMNAZIALĂ ""ION LUCA CARAGIALE"" SIBIU",9.85,-,-,9.45,-,-,Limba germana,10.00,-,-,9.76
12,SB10568771,12,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",9.70,-,-,9.70,-,-,Limba germana,9.80,-,-,9.73
13,SB1151951,13,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.65,-,-,9.80,-,-,-,-,-,-,9.72
14,SB10153703,14,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.75,-,-,9.65,-,-,-,-,-,-,9.70
15,SB10295329,15,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.40,-,-,10.00,-,-,-,-,-,-,9.70
16,SB9440049,16,ŞCOALA GIMNAZIALĂ ALĂMOR,9.75,-,-,9.60,-,-,-,-,-,-,9.67
17,SB10106340,17,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.60,-,-,9.75,-,-,-,-,-,-,9.67
18,SB11078999,18,"LICEUL TEORETIC ""CONSTANTIN NOICA"" SIBIU",9.60,-,-,9.75,-,-,-,-,-,-,9.67
19,SB10540187,19,ŞCOALA GIMNAZIALĂ NR. 4 SIBIU,10.00,-,-,9.30,-,-,-,-,-,-,9.65
20,SB13596096,20,LICEUL DE ARTĂ SIBIU,9.75,-,-,9.55,-,-,-,-,-,-,9.65
21,SB8369385,21,ŞCOALA GIMNAZIALĂ NR. 21 SIBIU,9.55,-,-,9.75,-,-,-,-,-,-,9.65
22,SB8561921,22,"ŞCOALA GIMNAZIALĂ ""ION LUCA CARAGIALE"" SIBIU",9.55,-,-,9.35,-,-,Limba germana,10.00,-,-,9.63
23,SB10549476,23,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",9.45,-,-,9.70,-,-,Limba germana,9.75,-,-,9.63
24,SB11059576,24,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",9.40,-,-,9.55,-,-,Limba germana,9.95,-,-,9.63
25,SB10407189,25,"ŞCOALA GIMNAZIALĂ ""ION LUCA CARAGIALE"" SIBIU",9.90,-,-,9.35,-,-,-,-,-,-,9.62
26,SB10399713,26,"COLEGIUL NAȚIONAL ""GHEORGHE LAZĂR"" SIBIU",9.60,-,-,9.65,-,-,-,-,-,-,9.62
27,SB10346419,27,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",9.70,-,-,9.50,-,-,-,-,-,-,9.60
28,SB10124046,28,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",9.90,-,-,9.30,-,-,Limba maghiara,9.55,-,-,9.58
29,SB10072508,29,"LICEUL TEORETIC ""ROTH - OBERTH"" MEDIAŞ",9.50,-,-,9.30,-,-,Limba germana,9.95,-,-,9.58
30,SB10106174,30,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",9.70,-,-,9.45,-,-,-,-,-,-,9.57
31,SB10264698,31,ŞCOALA GIMNAZIALĂ NR. 13 SIBIU,9.55,-,-,9.60,-,-,-,-,-,-,9.57
32,SB12137091,32,"ŞCOALA GIMNAZIALĂ ""NICOLAE IORGA"" SIBIU",9.80,-,-,9.30,-,-,-,-,-,-,9.55
33,SB13983198,33,ŞCOALA GIMNAZIALĂ NR. 25 SIBIU,9.80,-,-,9.30,-,-,-,-,-,-,9.55
34,SB10349108,34,"COLEGIUL NAȚIONAL ""OCTAVIAN GOGA"" SIBIU",9.65,-,-,9.45,-,-,-,-,-,-,9.55
35,SB9806863,35,"COLEGIUL NAȚIONAL ""SAMUEL VON BRUKENTHAL"" SIBIU",9.65,-,-,9.25,-,-,Limba germana,9.75,-,-,9.55
36,SB12614794,36,"ŞCOALA GIMNAZIALĂ ""ION LUCA CARAGIALE"" SIBIU",9.55,-,-,9.10,-,-,Limba germana,10.00,-,-,9.55
